Time(s)	Acc.(g)			
5.04	1.48E-01			
5.05	1.44E-01			
5.06	1.66E-01			
5.07	1.97E-01			
5.08	1.99E-01			
5.09	1.82E-01			
5.1	1.89E-01			
5.11	2.11E-01			
5.12	2.03E-01			
5.13	1.76E-01			
5.14	1.80E-01			
5.15	1.92E-01			
5.16	1.28E-01			
5.17	-1.61E-02			
5.18	-1.23E-01			
5.19	-1.16E-01			
5.2	-5.50E-02			
5.21	-3.03E-02			
5.22	-3.93E-02			
5.23	-3.61E-02			
5.24	-3.14E-02			
5.25	-6.28E-02			
5.26	-1.14E-01			
5.27	-1.46E-01			
5.28	-1.69E-01			
5.29	-2.12E-01			
5.3	-2.51E-01			
5.31	-2.45E-01			
5.32	-2.06E-01			
5.33	-1.86E-01			
5.34	-1.87E-01			
5.35	-1.71E-01			
5.36	-1.34E-01			
5.37	-1.09E-01			
5.38	-9.81E-02			
5.39	-7.32E-02			
5.4	-3.29E-02			
5.41	-3.30E-03			
5.42	1.55E-02			
5.43	4.59E-02			
5.44	8.34E-02			
5.45	1.09E-01			
5.46	1.34E-01			
5.47	1.75E-01			
5.48	1.86E-01			
5.49	1.11E-01			
5.5	-6.11E-03			
5.51	-5.83E-02			
5.52	-1.70E-02			
5.53	3.21E-02			
5.54	2.88E-02			
5.55	1.65E-02			
5.56	4.57E-02			
5.57	8.73E-02			
5.58	1.00E-01			
5.59	1.08E-01			
5.6	1.45E-01			
5.61	1.83E-01			
5.62	1.89E-01			
5.63	2.01E-01			
5.64	2.51E-01			
5.65	2.71E-01			
5.66	1.72E-01			
5.67	-1.16E-02			
5.68	-1.41E-01			
5.69	-1.48E-01			
5.7	-1.02E-01			
5.71	-9.00E-02			
5.72	-1.11E-01			
5.73	-1.17E-01			
5.74	-9.26E-02			
5.75	-6.14E-02			
5.76	-4.76E-02			
5.77	-6.89E-02			
5.78	-1.28E-01			
5.79	-1.92E-01			
5.8	-2.15E-01			
5.81	-1.92E-01			
5.82	-1.65E-01			
5.83	-1.65E-01			
5.84	-1.72E-01			
5.85	-1.59E-01			
5.86	-1.33E-01			
5.87	-1.19E-01			
5.88	-1.13E-01			
5.89	-9.97E-02			
5.9	-7.90E-02			
5.91	-6.25E-02			
5.92	-5.18E-02			
5.93	-4.60E-02			
5.94	-5.56E-02			
5.95	-8.72E-02			
5.96	-1.22E-01			
5.97	-1.34E-01			
5.98	-1.23E-01			
5.99	-1.13E-01			
6	-1.18E-01			
6.01	-1.25E-01			
6.02	-1.17E-01			
6.03	-9.31E-02			
6.04	-7.30E-02			
6.05	-6.59E-02			
6.06	-5.58E-02			
6.07	-2.50E-02			
6.08	6.60E-03			
6.09	-8.61E-03			
6.1	-8.21E-02			
6.11	-1.56E-01			
6.12	-1.66E-01			
6.13	-1.22E-01			
6.14	-8.77E-02			
6.15	-9.14E-02			
6.16	-9.79E-02			
6.17	-7.49E-02			
6.18	-4.05E-02			
6.19	-2.29E-02			
6.2	-1.48E-02			
6.21	4.89E-03			
6.22	3.24E-02			
6.23	5.21E-02			
6.24	6.62E-02			
6.25	8.23E-02			
6.26	8.92E-02			
6.27	7.41E-02			
6.28	4.82E-02			
6.29	3.08E-02			
6.3	2.01E-02			
6.31	5.98E-03			
6.32	-2.63E-03			
6.33	8.30E-03			
6.34	2.97E-02			
6.35	4.15E-02			
6.36	4.54E-02			
6.37	5.83E-02			
6.38	7.99E-02			
6.39	9.61E-02			
6.4	1.05E-01			
6.41	1.19E-01			
6.42	1.38E-01			
6.43	1.52E-01			
6.44	1.64E-01			
6.45	1.81E-01			
6.46	1.90E-01			
6.47	1.72E-01			
6.48	1.31E-01			
6.49	9.20E-02			
6.5	6.52E-02			
6.51	4.10E-02			
6.52	2.09E-02			
6.53	1.86E-02			
6.54	3.19E-02			
6.55	4.02E-02			
6.56	3.81E-02			
6.57	4.07E-02			
6.58	5.04E-02			
6.59	4.74E-02			
6.6	2.40E-02			
6.61	5.95E-05			
6.62	-8.61E-03			
6.63	-1.11E-02			
6.64	-1.70E-02			
6.65	-1.85E-02			
6.66	-1.16E-02			
6.67	-1.07E-02			
6.68	-2.33E-02			
6.69	-3.26E-02			
6.7	-2.53E-02			
6.71	-1.48E-02			
6.72	-1.59E-02			
6.73	-1.83E-02			
6.74	-7.08E-03			
6.75	8.85E-03			
6.76	1.50E-02			
6.77	2.00E-02			
6.78	3.85E-02			
6.79	5.92E-02			
6.8	5.91E-02			
6.81	4.10E-02			
6.82	2.59E-02			
6.83	1.60E-02			
6.84	-4.09E-03			
6.85	-3.18E-02			
6.86	-4.37E-02			
6.87	-3.17E-02			
6.88	-1.34E-02			
6.89	-1.77E-03			
6.9	9.59E-03			
6.91	2.28E-02			
6.92	2.35E-02			
6.93	5.68E-03			
6.94	-1.32E-02			
6.95	-1.53E-02			
6.96	-5.01E-03			
6.97	3.48E-03			
6.98	8.06E-03			
6.99	1.40E-02			
7	2.14E-02			
7.01	2.87E-02			
7.02	3.87E-02			
7.03	5.02E-02			
7.04	5.20E-02			
7.05	3.73E-02			
7.06	1.59E-02			
7.07	2.20E-03			
7.08	-3.18E-03			
7.09	-7.76E-03			
7.1	-1.14E-02			
7.11	-8.06E-03			
7.12	5.50E-04			
7.13	6.66E-03			
7.14	7.69E-03			
7.15	6.59E-03			
7.16	3.60E-03			
7.17	-3.18E-03			
7.18	-9.71E-03			
7.19	-9.40E-03			
7.2	-3.60E-03			
7.21	-3.05E-04			
7.22	-1.59E-03			
7.23	-1.34E-03			
7.24	3.85E-03			
7.25	9.16E-03			
7.26	8.61E-03			
7.27	2.75E-03			
7.28	-5.68E-03			
7.29	-1.70E-02			
7.3	-3.10E-02			
7.31	-4.20E-02			
7.32	-4.29E-02			
7.33	-3.44E-02			
7.34	-2.49E-02			
7.35	-2.20E-02			
7.36	-2.41E-02			
7.37	-2.36E-02			
7.38	-1.80E-02			
7.39	-1.31E-02			
7.4	-1.32E-02			
7.41	-1.24E-02			
7.42	-1.77E-03			
7.43	1.47E-02			
7.44	2.06E-02			
7.45	7.88E-03			
7.46	-1.09E-02			
7.47	-1.72E-02			
7.48	-9.34E-03			
7.49	-1.59E-03			
7.5	-3.36E-03			
7.51	-9.16E-03			
7.52	-1.09E-02			
7.53	-9.95E-03			
7.54	-1.12E-02			
7.55	-1.29E-02			
7.56	-1.01E-02			
7.57	-4.15E-03			
7.58	-6.11E-05			
7.59	2.08E-03			
7.6	7.33E-03			
7.61	1.64E-02			
7.62	2.41E-02			
7.63	2.86E-02			
7.64	3.60E-02			
7.65	5.20E-02			
7.66	7.20E-02			
7.67	8.44E-02			
7.68	7.93E-02			
7.69	5.49E-02			
7.7	1.89E-02			
7.71	-1.31E-02			
7.72	-2.69E-02			
7.73	-2.23E-02			
7.74	-1.25E-02			
7.75	-7.82E-03			
7.76	-4.40E-03			
7.77	5.25E-03			
7.78	1.64E-02			
7.79	1.68E-02			
7.8	4.70E-03			
7.81	-1.01E-02			
7.82	-2.21E-02			
7.83	-3.48E-02			
7.84	-4.78E-02			
7.85	-5.20E-02			
7.86	-4.34E-02			
7.87	-3.06E-02			
7.88	-2.22E-02			
7.89	-1.53E-02			
7.9	-4.15E-03			
7.91	8.12E-03			
7.92	1.60E-02			
7.93	2.24E-02			
7.94	3.28E-02			
7.95	4.30E-02			
7.96	4.25E-02			
7.97	2.98E-02			
7.98	1.27E-02			
7.99	-3.05E-03			
8	-1.65E-02			
8.01	-2.38E-02			
8.02	-2.06E-02			
8.03	-1.16E-02			
8.04	-8.55E-03			
8.05	-1.46E-02			
8.06	-2.08E-02			
8.07	-1.97E-02			
8.08	-1.42E-02			
8.09	-9.46E-03			
8.1	-5.37E-03			
8.11	5.38E-07			
8.12	5.19E-03			
8.13	8.98E-03			
8.14	1.39E-02			
8.15	2.10E-02			
8.16	2.69E-02			
8.17	2.77E-02			
8.18	2.38E-02			
8.19	1.69E-02			
8.2	7.82E-03			
8.21	6.11E-05			
8.22	-6.10E-04			
8.23	7.57E-03			
8.24	2.02E-02			
8.25	3.28E-02			
8.26	4.45E-02			
8.27	5.25E-02			
8.28	5.00E-02			
8.29	3.58E-02			
8.3	1.96E-02			
8.31	1.14E-02			
8.32	9.22E-03			
8.33	5.07E-03			
8.34	-2.08E-03			
8.35	-5.62E-03			
8.36	-2.26E-03			
8.37	3.11E-03			
8.38	5.43E-03			
8.39	5.86E-03			
8.4	9.34E-03			
8.41	1.72E-02			
8.42	2.61E-02			
8.43	3.25E-02			
8.44	3.74E-02			
8.45	4.45E-02			
8.46	5.36E-02			
8.47	5.85E-02			
8.48	5.51E-02			
8.49	4.77E-02			
8.5	4.34E-02			
8.51	4.21E-02			
8.52	4.05E-02			
8.53	4.31E-02			
8.54	5.70E-02			
8.55	7.49E-02			
8.56	7.71E-02			
8.57	5.78E-02			
8.58	3.72E-02			
8.59	3.48E-02			
8.6	4.19E-02			
8.61	3.49E-02			
8.62	9.95E-03			
8.63	-1.33E-02			
8.64	-2.08E-02			
8.65	-2.03E-02			
8.66	-2.54E-02			
8.67	-3.54E-02			
8.68	-4.12E-02			
8.69	-4.13E-02			
8.7	-4.21E-02			
8.71	-4.59E-02			
8.72	-4.79E-02			
8.73	-4.58E-02			
8.74	-4.42E-02			
